Actor,Movies,Gender,Country,Role,url,NumLines
Mila Kunis,The Book of Eli,Female,Ukraine,Solara,"http://www.imsdb.com/scripts/Book-of-Eli,-The.html",310
Ray Stevenson,The Book of Eli,Male,United Kingdom,Redridge,"http://www.imsdb.com/scripts/Book-of-Eli,-The.html",124
Gerard Butler,The Bounty Hunter,Male,United Kingdom,Milo Boyd,"http://www.imsdb.com/scripts/Bounty-Hunter,-The.html",777
Radha Mitchell,The Crazies,Female,Australia,Judy,http://www.joblo.com/scripts/The%20Crazies.pdf,300
Helen Mirren,The Debt,Female,United Kingdom,Rachel Singer,http://academy.filminfocus.com/scripts/the_debt_screenplay.pdf,653
Sam Worthington,The Debt,Male,United Kingdom,Young David,http://academy.filminfocus.com/scripts/the_debt_screenplay.pdf,307
Tom Wilkinson,The Debt,Male,United Kingdom,Stephan Gold,http://academy.filminfocus.com/scripts/the_debt_screenplay.pdf,341
Jason Statham,The Expendables,Male,United Kingdom,Lee Christmas,http://www.joblo.com/scripts/expendables.pdf,4
Jet Li,The Expendables,Male,China,Yin Yang,http://www.joblo.com/scripts/expendables.pdf,121
Colin Firth,The King's Speech,Male,United Kingdom,King George VI,"http://www.imsdb.com/scripts/King's-Speech,-The.html",28
Geoffrey Rush,The King's Speech,Male,Australia,Lionel Logue,"http://www.imsdb.com/scripts/King's-Speech,-The.html",429
Helena Bonham Carter,The King's Speech,Female,United Kingdom,Queen Elizabeth,"http://www.imsdb.com/scripts/King's-Speech,-The.html",125
Jackson Rathbone,The Last Airbender,Male,Singapore,Sokka,http://avatar.wikia.com/wiki/Transcript:The_Last_Airbender,102
Idris Elba,The Losers,Male,United Kingdom,Roque,"http://www.imsdb.com/scripts/Losers,-The.html",257
Russell Crowe,The Next Three Days,Male,New Zealand,John Brennan,http://screenplayexplorer.com/wp-content/scripts/The-Next-Three-Days.pdf,860
Alfred Molina,The Sorcerer's Apprentice,Male,United Kingdom,Horvath,http://www.joblo.com/scripts/sorcerer.pdf,
Jay Baruchel,The Sorcerer's Apprentice,Male,Canada,Dave,http://www.joblo.com/scripts/sorcerer.pdf,
Paul Bettany,The Tourist,Male,United Kingdom,Inspector John Acheson,"http://www.imsdb.com/scripts/Tourist,-The.html",3
Rebecca Hall,The Town,Female,United Kingdom,Claire Keesey,http://moviecultists.com/wp-content/uploads/screenplays/town.pdf,356
