Movie,Actor,Character,Gender,Country
21 Jump Street,Ellie Kemper,Ms. Griggs,Female,USA
21 Jump Street,Holly Robinson Peete,Officer Judy Hoffs,Female,USA
21 Jump Street,Channing Tatum,Jenko,Male,USA
21 Jump Street,Chris Parnell,Mr. Gordon,Male,USA
21 Jump Street,Dave Franco,Eric Molson,Male,USA
21 Jump Street,Dax Flame,Zack,Male,None
21 Jump Street,Deray Davis,Domingo,Male,USA
21 Jump Street,Deray Davis,Domingo,Male,USA
21 Jump Street,Ice Cube,Captain Dickson,Male,USA
21 Jump Street,Jake Johnson,Principal Dadier,Male,USA
21 Jump Street,Johnny Pemberton,Delroy,Male,None
21 Jump Street,Jonah Hill,Schmidt,Male,USA
21 Jump Street,Nick Offerman,Deputy Chief Hardy,Male,USA
21 Jump Street,Rob Riggle,Mr. Walters,Male,USA
21 Jump Street,Stanley Wong,Roman,Male,USA
22 Jump Street,Amber Stevens West,Maya       (as Amber Stevens),Female,USA
22 Jump Street,Caroline Aaron,Annie Schmidt,Female,USA
22 Jump Street,Jillian Bell,Mercedes,Female,USA
22 Jump Street,Channing Tatum,Jenko,Male,USA
22 Jump Street,Craig Roberts,Spencer,Male,UK
22 Jump Street,Ice Cube,Captain Dickson,Male,USA
22 Jump Street,Jimmy Tatro,Rooster,Male,USA
22 Jump Street,Joe Chrest,David Schmidt,Male,USA
22 Jump Street,Jonah Hill,Schmidt,Male,USA
22 Jump Street,Keith Lucas,Keith Yang,Male,None
22 Jump Street,Kenneth Lucas,Kenny Yang,Male,None
22 Jump Street,Marc Evan Jackson,Dr. Murphy,Male,USA
22 Jump Street,Nick Offerman,Deputy Chief Hardy,Male,USA
22 Jump Street,Peter Stormare,The Ghost,Male,None
22 Jump Street,Wyatt Russell,Zook,Male,USA
27 Dresses,Brigitte Bourdeau,Salesgirl Olga,Female,None
27 Dresses,Charli Barcena,Young Tess,Female,None
27 Dresses,Danielle Skraastad,Bride Suzanne,Female,None
27 Dresses,Erin Fogel,Shari Rabinowitz,Female,USA
27 Dresses,Jane Pfitsch,Cousin Lisa,Female,USA
27 Dresses,Jennifer Lim,Bridal Salesgirl #1,Female,UK
27 Dresses,Judy Greer,Casey,Female,USA
27 Dresses,Katherine Heigl,Jane,Female,USA
27 Dresses,Marilyn L. Costello,Bride Suzanne's Minister,Female,None
27 Dresses,Peyton List,Young Jane       (as Peyton Roi List),Female,USA
27 Dresses,Yetta Gottesman,Hip Bridesmaid,Female,None
27 Dresses,Bern Cohen,Rabbi,Male,None
27 Dresses,Brian Kerwin,Hal,Male,USA
27 Dresses,James Marsden,Kevin,Male,USA
27 Dresses,Michael Paul,Taxi Driver Khaleel       (as Michael Ziegfeld),Male,USA
3 Days to Kill,Alison Valence,Sumia,Female,None
3 Days to Kill,Amber Heard,Vivi Delay,Female,USA
3 Days to Kill,Connie Nielsen,Christine Renner,Female,Denmark
3 Days to Kill,Hailee Steinfeld,Zooey Renner,Female,USA
3 Days to Kill,Big John,Louis,Male,None
3 Days to Kill,Bruno Ricci,Guido,Male,None
3 Days to Kill,Eriq Ebouaney,Jules,Male,France
3 Days to Kill,Joakhim Sigue,Abbate,Male,None
3 Days to Kill,Jonas Bloquet,Hugh,Male,Belgium
3 Days to Kill,Kevin Costner,Ethan Renner,Male,USA
3 Days to Kill,Marc Andreoni,Mitat Yilmaz,Male,France
3 Days to Kill,Michael Vander-Meiren,Jacques,Male,None
3 Days to Kill,Paolo Calia,JPG Salesman,Male,None
3 Days to Kill,Richard Sammel,The Wolf,Male,Germany
3 Days to Kill,Timas Lemarquis,The Albino,Male,Iceland
3:10 to Yuma,Gretchen Mol,Alice Evans,Female,USA
3:10 to Yuma,Vinessa Shaw,Emma Nelson,Female,USA
3:10 to Yuma,Alan Tudyk,Doc Potter,Male,USA
3:10 to Yuma,Ben Foster,Charlie Prince,Male,USA
3:10 to Yuma,Christian Bale,Dan Evans,Male,UK
3:10 to Yuma,Dallas Roberts,Grayson Butterfield,Male,USA
3:10 to Yuma,Johnny Whitworth,Darden,Male,USA
3:10 to Yuma,Lennie Loftin,Glen Hollander,Male,None
3:10 to Yuma,Logan Lerman,William Evans,Male,USA
3:10 to Yuma,Luce Rains,Marshal Weathers,Male,USA
3:10 to Yuma,Pat Ricotti,Jorgensen,Male,None
3:10 to Yuma,Peter Fonda,Byron McElroy,Male,USA
3:10 to Yuma,Rio Alexander,Campos,Male,None
3:10 to Yuma,Russell Crowe,Ben Wade,Male,New Zealand
3:10 to Yuma,Shawn Howell,Jackson       (as Shawn D. Howell),Male,None
30 Days of Night,Amber Sainsbury,Denise,Female,New Zealand
30 Days of Night,Elizabeth Hawthorne,Lucy Ikos,Female,New Zealand
30 Days of Night,Megan Franich,Iris,Female,New Zealand
30 Days of Night,Melissa George,Stella Oleson,Female,Australia
30 Days of Night,Ben Foster,The Stranger,Male,USA
